Year,Date,Time,GameType,Team1,Team2,Network,Rating,Viewers,Notes
2018,9/22/2020,10:20,Regular Season,Air Force,Utah State,ESPN2,,0.277,MWC
2018,9/22/2020,Noon,Regular Season,Ohio,Cincinnati,ESPNU,,0.211,"MAC, AAC"
2018,9/15/2020,8:00,Regular Season,Ohio State,TCU,ABC,4.2,7.232,"B1G, B12"
2018,9/15/2020,3:30,Regular Season,LSU,Auburn,CBS,3.5,5.936,SEC
2018,9/15/2020,7:00,Regular Season,Alabama,Ole Miss,ESPN,2.3,4.109,SEC
2018,9/15/2020,Noon,Regular Season,Oklahoma,Iowa State,ABC,2.2,3.346,B12
2018,9/15/2020,8:20,Regular Season,USC,Texas,FOX,1.8,2.95,"P12, B12"
2018,9/15/2020,3:30,Regular Season,Brigham Young,Wisconsin,ABC,1.9,2.913,"IND, B1G"
2018,9/15/2020,2:30,Regular Season,Vanderbilt,Notre Dame,NBC,1.4,2.108,"SEC, IND"
2018,9/15/2020,Noon,Regular Season,Florida State,Syracuse,ESPN,1.2,1.869,ACC
2018,9/15/2020,10:00,Regular Season,Washington,Utah,ESPN,1,1.589,P12
2018,9/15/2020,3:30,Regular Season,Boise State,Oklahoma State,ESPN,0.85,1.438,"MWC, B12"
2018,9/15/2020,4:50,Regular Season,Houston,Texas Tech,FOX,0.7,1.079,"AAC, B12"
2018,9/15/2020,Noon,Regular Season,Kent State,Penn State,FS1,0.43,0.893,"MAC, B1G"
2018,9/13/2020,5:30,Regular Season,Boston College,Wake Forest,ESPN,0.6,0.863,ACC
2018,9/14/2020,7:00,Regular Season,Georgia State,Memphis,ESPN,0.51,0.79,"SUN, AAC"
2018,9/15/2020,Noon,Regular Season,Georgia Southern,Clemson,ESPNU,,0.554,"SUN, ACC"
2018,9/15/2020,Noon,Regular Season,Miami (FL),Toledo,ESPN2,0.28,0.461,"ACC, MAC"
2018,9/15/2020,Noon,Regular Season,Middle Tennessee,Georgia,ESPNEWS,,0.44,"CUSA, SEC"
2018,9/15/2020,10:30,Regular Season,Fresno State,UCLA,FS1,0.18,0.301,"MWC, P12"
2018,9/15/2020,3:30,Regular Season,Duke,Baylor,FS1,,0.291,"ACC, B12"
2018,9/8/2020,7:00,Regular Season,Clemson,Texas A&M,ESPN,2.6,4.486,"ACC, SEC"
2018,9/8/2020,3:30,Regular Season,Georgia,South Carolina,CBS,2.3,3.747,SEC
2018,9/8/2020,3:30,Regular Season,Colorado,Nebraska,ABC,2.1,3.394,"P12, B1G"
2018,9/8/2020,8:00,Regular Season,Penn State,Pittsburgh,ABC,2,3.286,"B1G, ACC"
2018,9/8/2020,1:00,Regular Season,UCLA,Oklahoma,FOX,1.8,2.896,"P12, B12"
2018,9/8/2020,Noon,Regular Season,Arizona,Houston,ABC,1.7,2.539,"P12, AAC"
2018,9/8/2020,Noon,Regular Season,Georgia Tech,South Florida,ABC,1.7,2.539,"ACC, AAC"
2018,9/8/2020,3:30,Regular Season,Ball State,Notre Dame,NBC,1.6,2.453,"MAC, IND"
2018,9/8/2020,10:45,Regular Season,Michigan State,Arizona State,ESPN,1.5,2.297,"B1G, P12"
2018,9/8/2020,8:45,Regular Season,USC,Stanford,FOX,1.4,2.29,P12
2018,9/8/2020,5:00,Regular Season,Iowa State,Iowa,FOX,1.2,2.017,"B12, BIG"
2018,9/8/2020,Noon,Regular Season,Mississippi State,Kansas State,ESPN,1.1,1.8,"SEC, B12"
2018,9/8/2020,3:30,Regular Season,Arkansas State,Alabama,ESPN2,1,1.663,"SUN, SEC"
2018,9/7/2020,10:00,Regular Season,TCU,SMU,ESPN2,0.7,1.076,"B12, AAC"
2018,9/8/2020,Noon,Regular Season,Western Michigan,Michigan,FS1,0.6,0.914,"MAC, B1G"
2018,9/8/2020,7:00,Regular Season,Southeast Louisiana,LSU,ESPN2,0.5,0.858,"FCS, SEC"
2018,9/8/2020,10:15,Regular Season,California,Brigham Young,ESPN2,0.34,0.586,"P12, IND"
2018,9/8/2020,7:30,Regular Season,Fresno State,Minnesota,FS1,0.23,0.395,"MWC, B1G"
2018,9/8/2020,Noon,Regular Season,Duke,Northwestern,ESPNU,,0.337,"ACC, B1G"
2018,9/8/2020,3:30,Regular Season,North Carolina,East Carolina,ESPNU,,0.284,"ACC, AAC"
2018,9/8/2020,7:00,Regular Season,Wyoming,Missouri,ESPNU,,0.243,"MWC, SEC"
2018,9/8/2020,10:15,Regular Season,UConn,Boise State,ESPNU,,0.233,"AAC, MWC"
2018,9/1/2020,7:30,Regular Season,Michigan,Notre Dame,NBC,4,7.091,"B1G, IND"
2018,9/2/2020,7:30,Regular Season,Miami (FL),LSU,ABC,3.8,6.553,"ACC, SEC"
2018,9/3/2020,8:00,Regular Season,Virginia Tech,Florida State,ESPN,3.4,5.576,ACC
2018,9/1/2020,3:30,Regular Season,Washington,Auburn,ABC,3.2,5.253,"P12, SEC"
2018,9/1/2020,8:00,Regular Season,Louisville,Alabama,ABC,2.7,4.54,"ACC, SEC"
2018,9/1/2020,Noon,Regular Season,Oregon State,Ohio State,ABC,2.2,3.487,"P12, B1G"
2018,9/1/2020,3:30,Regular Season,West Virginia,Tennessee,CBS,1.6,2.647,"B12, SEC"
2018,9/1/2020,Noon,Regular Season,Ole Miss,Texas Tech,ESPN,1.2,1.929,"SEC, B12"
2018,8/30/2020,8:00,Regular Season,Northwestern,Purdue,ESPN,1,1.741,BIG
2018,8/31/2020,9:00,Regular Season,Western Kentucky,Wisconsin,ESPN,0.9,1.409,"CUSA, BIG"
2018,9/1/2020,12:30,Regular Season,Florida Atlantic,Oklahoma,FOX,0.9,1.385,"CUSA, B12"
2018,9/1/2020,10:45,Regular Season,Brigham Young,Arizona,ESPN,0.75,1.288,"IND, P12"
2018,9/1/2020,Noon,Regular Season,Texas,Maryland,FS1,0.8,1.274,"B12, B1G"
2018,9/1/2020,3:30,Regular Season,Austin Peay,Georgia,ESPN,0.7,1.193,"FCS, SEC"
2018,9/1/2020,7:00,Regular Season,Cincinnati,UCLA,ESPN,0.6,1.008,"AAC, P12"
2018,9/1/2020,4:00,Regular Season,North Carolina,California,FOX,0.6,0.93,"ACC, P12"
2018,8/31/2020,9:00,Regular Season,San Diego State,Stanford,FS1,0.38,0.596,"MWC, P12"
2018,8/31/2020,7:00,Regular Season,Army,Duke,ESPNU,0.3,0.503,"IND, ACC"
2018,8/30/2020,7:00,Regular Season,UCF,UConn,ESPNU,0.26,0.444,AAC
2018,9/2/2020,Noon,Regular Season,Prairie View,NC A&T,ESPN2,0.25,0.362,FCS
2018,8/30/2020,8:00,Regular Season,Missouri State,Oklahoma State,FS1,0.2,0.337,"MVC, B12"
2018,9/1/2020,3:30,Regular Season,Central Michigan,Kentucky,ESPNU,,0.327,"MAC, SEC"
2018,9/1/2020,6:00,Regular Season,Boise State,Troy,ESPNEWS,,0.241,"MWC, SUN"
2018,9/1/2020,Noon,Regular Season,James Madison,NC State,ESPNU,,0.24,"FCS, ACC"
2018,9/1/2020,10:30,Regular Season,UTSA,Arizona State,FS1,,0.234,"CUSA, P12"
2018,9/1/2020,7:30,Regular Season,Stephen F Austin,Mississippi State,ESPNU,,0.175,"FCS, SEC"
2018,8/25/2020,7:00,Regular Season,NC A&T,Jackson State,ESPN,0.35,0.564,FCS
2018,8/25/2020,10:00,Regular Season,Wyoming,New Mexico,ESPN2,0.29,0.464,MWC
2017,1/8/2020,8:00 PM,Bowl Game,Alabama,Georgia,ESPN &,15.6,28.443,CFPNC
2017,1/1/2020,5:00 PM,Bowl Game,Georgia,Oklahoma,ESPN &,13.7,26.913,Rose (Semi)
2017,1/1/2020,9:00 PM,Bowl Game,Alabama,Clemson,ESPN &,11.4,21.473,Sugar (Semi)
2017,12/30/2020,8:00 PM,Bowl Game,Wisconsin,Miami (FL),ESPN,6.3,11.727,Orange
2017,12/30/2020,4:00 PM,Bowl Game,Penn State,Washington,ESPN,5.7,10.167,Fiesta
2017,12/29/2020,8:00 PM,Bowl Game,Ohio State,USC,ESPN,5.3,9.468,Cotton
2017,1/1/2020,1:00 PM,Bowl Game,Notre Dame,LSU,ABC,5.1,8.713,Citrus
2017,1/1/2020,12:30 PM,Bowl Game,UCF,Auburn,ESPN,4.6,8.377,Peach
2017,1/1/2020,Noon,Bowl Game,South Carolina,Michigan,ESPN2,2.8,5.05,Outback
2017,12/29/2020,5:15 PM,Bowl Game,Northwestern,Kentucky,ESPN,2.8,4.626,Music City
2017,12/30/2020,Noon,Bowl Game,Mississippi State,Louisville,ESPN,2.7,4.424,Gator
2017,12/28/2020,9:00 PM,Bowl Game,TCU,Stanford,ESPN,2.5,4.368,Alamo
2017,12/28/2020,5:15 PM,Bowl Game,Oklahoma State,Virginia Tech,ESPN,2.6,4.358,Orlando
2017,12/27/2020,5:15 PM,Bowl Game,Iowa,Boston College,ESPN,2.3,4.008,Pinstripe
2017,12/30/2020,12:30 PM,Bowl Game,Iowa State,Memphis,ABC,2.2,3.438,Liberty
2017,12/27/2020,9:00 PM,Bowl Game,Texas,Missouri,ESPN,2.1,3.455,Texas
2017,12/16/2020,3:30 PM,Bowl Game,Boise State,Oregon,ABC,2.3,3.801,Las Vegas
2017,12/23/2020,4:00 PM,Bowl Game,Army,San Diego State,ESPN,2.1,3.485,Armed Forces
2017,12/23/2020,Noon,Bowl Game,South Florida,Texas Tech,ESPN,2.15,3.397,Birmingham
2017,12/26/2020,9:00 PM,Bowl Game,Kansas State,UCLA,ESPN,,3.261,Cactus
2017,12/29/2020,1:00 PM,Bowl Game,Wake Forest,Texas A&M,ESPN,,2.957,Belk
2017,12/27/2020,8:30 PM,Bowl Game,Purdue,Arizona,FOX,1.7,2.826,San Fran.
2017,12/26/2020,5:15 PM,Bowl Game,Duke,Northern Illinois,ESPN,,2.526,Detroit
2017,12/16/2020,Noon,Bowl Game,N.C. A&T,Grambling,ABC,1.6,2.357,Celebration
2017,12/27/2020,1:30 PM,Bowl Game,Florida State,Southern Mississippi,ESPN,,2.205,Independence
2017,12/29/2020,3:15 PM,Bowl Game,NC State,Arizona State,CBS,1.5,2.205,Sun
2017,12/26/2020,1:30 PM,Bowl Game,Utah,West Virginia,ESPN,,2.204,Heart of
2017,12/24/2020,8:30 PM,Bowl Game,Fresno State,Houston,ESPN,1.1,2.086,Hawaii
2017,12/28/2020,1:30 PM,Bowl Game,Navy,Virginia,ESPN,,2.052,Military
2017,12/23/2020,7:00 PM,Bowl Game,Appalachian State,Toledo,ESPN,1,1.77,Mobile
2017,12/28/2020,9:00 PM,Bowl Game,Michigan State,Washington State,FS1,,1.613,Holiday
2017,12/21/2020,8:00 PM,Bowl Game,Temple,FIU,ESPN,1,1.597,St. Pete
2017,1/6/2020,Noon,Bowl Game,NDSU,JMU,ESPN2,1,1.515,FCS Champ.
2017,12/19/2020,7:00 PM,Bowl Game,Florida Atlantic,Akron,ESPN,,1.394,Boca Raton
2017,12/16/2020,1:00 PM,Bowl Game,Troy,North Texas,ESPN,0.9,1.327,New Orleans
2017,12/20/2020,8:00 PM,Bowl Game,Louisiana Tech,SMU,ESPN,,1.25,Frisco
2017,12/16/2020,4:50 PM,Regular Season,Marshall,Colorado State,ESPN,0.75,1.212,New Mexico
2017,12/16/2020,8:30 PM,Regular Season,Middle Tennessee,Arkansas State,ESPN,0.7,1.187,Camellia
2017,12/16/2020,6:00 PM,Regular Season,Tex. A&M-Comm.,W. Florida,ESPN2,0.36,0.626,
2017,12/8/2020,3:00 PM,Regular Season,Army,Navy,CBS,5.2,8.419,Ind.
2017,12/2/2020,4:00 PM,Regular Season,Georgia,Auburn,CBS,8,13.466,SEC
2017,12/2/2020,8:15 PM,Regular Season,Ohio State,Wisconsin,FOX,7.3,12.918,Big Ten
2017,12/2/2020,12:45 PM,Regular Season,Oklahoma,TCU,FOX,3.8,5.896,Big 12
2017,12/2/2020,8:00 PM,Regular Season,Clemson,Miami (FL),ABC,3.2,5.428,ACC
2017,12/1/2020,8:00 PM,Regular Season,USC,Stanford,ESPN,2.3,3.657,Pac-12
2017,12/2/2020,Noon,Regular Season,UCF,Memphis,ABC,2.3,3.385,American
2017,12/2/2020,Noon,Regular Season,Toledo,Akron,ESPN,0.45,0.652,
2017,12/2/2020,7:45 PM,Regular Season,Boise State,Fresno State,ESPN,0.39,0.623,
2017,12/2/2020,Noon,Regular Season,North Texas,Florida Atlantic,ESPN2,,0.255,
2017,12/2/2020,7:30 PM,Regular Season,Troy,Arkansas State,ESPN2,,0.225,
2017,11/25/2020,3:30 PM,Regular Season,Alabama,Auburn,CBS,7.6,13.657,SEC
2017,11/25/2020,Noon,Regular Season,Ohio State,Michigan,FOX,6.1,10.507,Big Ten
2017,11/25/2020,8:00 PM,Regular Season,Notre Dame,Stanford,ABC,3,5.263,Ind
2017,11/24/2020,3:30 PM,Regular Season,South Florida,UCF,ABC,2.7,4.644,American
2017,11/24/2020,Noon,Regular Season,Miami (FL),Pittsburgh,ABC,2.8,4.562,ACC
2017,11/25/2020,7:30 PM,Regular Season,Clemson,South Carolina,ESPN,2.2,4.032,ACC
2017,11/24/2020,8:15 PM,Regular Season,Texas Tech,Texas,FOX,2.1,3.609,Big 12
2017,11/25/2020,Noon,Regular Season,Georgia,Georgia Tech,ABC,1.7,2.766,SEC
2017,11/25/2020,3:30 PM,Regular Season,Wisconsin,Minnesota,ABC,1.5,2.6,Big Ten
2017,11/24/2020,2:30 PM,Regular Season,Missouri,Arkansas,CBS,,2.502,SEC
2017,11/23/2020,7:30 PM,Regular Season,Ole Miss,Mississippi State,ESPN,1.2,2.468,SEC
2017,11/25/2020,8:00 PM,Regular Season,Washington State,Washington,FOX,1.3,2.39,Pac-12
2017,11/24/2020,8:00 PM,Regular Season,Virginia Tech,Virginia,ESPN,1.25,2.144,ACC
2017,11/25/2020,Noon,Regular Season,Florida State,Florida,ESPN,1.2,2.056,ACC
2017,11/25/2020,4:15 PM,Regular Season,Michigan State,Rutgers,FOX,1.2,2.012,Big Ten
2017,11/25/2020,3:45 PM,Regular Season,West Virginia,Oklahoma,ESPN,1.1,1.898,Big 12
2017,11/25/2020,4:00 PM,Regular Season,Iowa,Nebraska,FS1,,1.4,Big Ten
2017,11/25/2020,7:00 PM,Regular Season,Oregon State,Oregon,ESPN2,0.4,0.738,
2017,11/24/2020,Noon,Regular Season,Navy,Houston,ESPN,,0.699,
2017,11/25/2020,3:30 PM,Regular Season,Iowa State,Kansas State,ESPN2,0.31,0.498,
2017,11/24/2020,10:30 PM,Regular Season,California,UCLA,FS1,0.31,0.494,
2017,11/24/2020,Noon,Regular Season,Baylor,TCU,FS1,,0.472,
2017,11/25/2020,Noon,Regular Season,Kansas,Oklahoma State,FS1,0.22,0.343,
2017,11/25/2020,Noon,Regular Season,Indiana,Purdue,ESPN2,0.22,0.336,
2017,11/25/2020,10:30 PM,Regular Season,Utah State,Air Force,ESPN2,,0.288,
2017,11/25/2020,3:30 PM,Regular Season,North Carolina,NC State,ESPNU,,0.271,
2017,11/25/2020,10:00 PM,Regular Season,Colorado,Utah,FS1,,0.273,
2017,11/21/2020,7:00 PM,Regular Season,Kent State,Akron,ESPNU,,0.242,
2017,11/24/2020,11:30 AM,Regular Season,Western Michigan,Toledo,ESPNU,,0.132,
2017,11/25/2020,Noon,Regular Season,East Carolina,Memphis,ESPNU,,0.081,American
2017,11/25/2020,7:30 PM,Regular Season,UTSA,Louisiana Tech,ESPNU,,0.081,Sun Belt
2017,11/18/2020,Noon,Regular Season,Michigan,Wisconsin,FOX,3.3,5.226,Big Ten
2017,11/18/2020,8:00 PM,Regular Season,UCLA,USC,ABC,2.5,4.048,Pac-12
2017,11/18/2020,3:30 PM,Regular Season,Kentucky,Georgia,CBS,2.1,3.397,SEC
2017,11/18/2020,Noon,Regular Season,Virginia,Miami (FL),ABC,2.1,3.339,ACC
2017,11/18/2020,3:30 PM,Regular Season,Navy,Notre Dame,NBC,2,3.203,American
2017,11/18/2020,3:30 PM,Regular Season,Illinois,Ohio State,ABC,1.9,3.093,Big Ten
2017,11/18/2020,7:15 PM,Regular Season,LSU,Tennessee,ESPN,1.6,2.946,SEC
2017,11/18/2020,4:00 PM,Regular Season,Maryland,Michigan State,FOX,1.3,2.035,Big Ten
2017,11/18/2020,Noon,Regular Season,Mississippi State,Arkansas,CBS,1.1,1.678,SEC
2017,11/18/2020,3:30 PM,Regular Season,Oklahoma,Kansas,ESPN,1,1.606,Big 12
2017,11/18/2020,8:15 PM,Regular Season,California,Stanford,FOX,0.95,1.598,Pac-12
2017,11/18/2020,Noon,Regular Season,Texas,West Virginia,ESPN,1,1.594,Big 12
2017,11/18/2020,4:00 PM,Regular Season,Nebraska,Penn State,FS1,0.8,1.564,Big Ten
2017,11/18/2020,10:30 PM,Regular Season,Utah,Washington,ESPN,0.9,1.537,Pac-12
2017,11/18/2020,7:00 PM,Regular Season,Texas A&M,Ole Miss,ESPN2,0.8,1.516,SEC
2017,11/18/2020,3:30 PM,Regular Season,Kansas State,Oklahoma State,ESPN2,0.51,0.831,
2017,11/16/2020,7:30 PM,Regular Season,Tulsa,South Florida,ESPN,0.37,0.545,
2017,11/18/2020,Noon,Regular Season,Louisiana-Monroe,Auburn,ESPN2,0.33,0.526,
2017,11/18/2020,10:45 PM,Regular Season,Air Force,Boise State,ESPN2,0.26,0.436,
2017,11/18/2020,7:30 PM,Regular Season,NC State,Wake Forest,ESPNU,,0.412,
2017,11/18/2020,Noon,Regular Season,TCU,Texas Tech,FS1,0.25,0.388,
2017,11/15/2020,7:00 PM,Regular Season,Western Michigan,Northern Illinois,ESPN2,,0.385,
2017,11/17/2020,9:30 PM,Regular Season,UNLV,New Mexico,ESPN2,,0.359,
2017,11/14/2020,7:00 PM,Regular Season,Ohio,Akron,ESPN2,,0.31,
2017,11/18/2020,3:30 PM,Regular Season,Syracuse,Louisville,ESPNU,,0.223,
2017,11/15/2020,8:00 PM,Regular Season,Toledo,Bowling Green,ESPNU,,0.175,
2017,11/18/2020,Noon,Regular Season,UCF,Temple,ESPNU,,0.144,
2017,11/14/2020,7:00 PM,Regular Season,Central Michigan,Kent State,ESPNU,,0.112,
2017,11/11/2020,3:30 PM,Regular Season,Georgia,Auburn,CBS,4.4,7.407,SEC
2017,11/11/2020,7:00 PM,Regular Season,Alabama,Mississippi State,ESPN,3.9,7.031,SEC
2017,11/11/2020,8:00 PM,Regular Season,Notre Dame,Miami (FL),ABC,3.9,6.727,Ind.
2017,11/11/2020,4:00 PM,Regular Season,Iowa,Wisconsin,ABC,2.35,3.78,Big Ten
2017,11/11/2020,Noon,Regular Season,Michigan State,Ohio State,FOX,2.4,3.728,Big Ten
2017,11/11/2020,Noon,Regular Season,Oklahoma State,Iowa State,ABC,2,2.995,Big 12
2017,11/11/2020,Noon,Regular Season,NC State,Boston College,ABC,2,2.995,Big 12
2017,11/11/2020,8:00 PM,Regular Season,TCU,Oklahoma,FOX,1.8,2.96,Big 12
2017,11/11/2020,Noon,Regular Season,Florida,South Carolina,CBS,1.5,2.391,SEC
2017,11/11/2020,Noon,Regular Season,Arkansas,LSU,ESPN,1.2,2.032,SEC
2017,11/11/2020,3:30 PM,Regular Season,Florida State,Clemson,ESPN,1.1,1.872,ACC
2017,11/11/2020,4:00 PM,Regular Season,USC,Colorado,FOX,1.05,1.641,Pac-12
2017,11/10/2020,11:15 PM,Regular Season,Washington,Stanford,FS1,,1.057,Pac-12
2017,11/9/2020,7:30 PM,Regular Season,North Carolina,Pittsburgh,ESPN,0.7,1.015,ACC
2017,11/11/2020,3:30 PM,Regular Season,West Virginia,Kansas State,ESPN2,0.54,0.983,
2017,11/10/2020,7:00 PM,Regular Season,Temple,Cincinnati,ESPN2,,0.697,
2017,11/11/2020,Noon,Regular Season,Nebraska,Minnesota,FS1,0.39,0.659,
2017,11/11/2020,10:30 PM,Regular Season,Oregon State,Arizona,ESPN2,0.31,0.531,
2017,11/10/2020,10:30 PM,Regular Season,Brigham Young,UNLV,ESPN2,,0.525,
2017,11/8/2020,7:00 PM,Regular Season,Toledo,Ohio,ESPN2,,0.471,
2017,11/11/2020,7:15 PM,Regular Season,Purdue,Northwestern,ESPN2,0.24,0.421,
2017,11/7/2020,7:30 PM,Regular Season,Akron,Miami (OH),ESPN2,,0.369,
2017,11/11/2020,7:00 PM,Regular Season,New Mexico,Texas A&M,ESPNU,,0.222,
2017,11/11/2020,3:30 PM,Regular Season,Virginia,Louisville,ESPNU,,0.217,
2017,11/11/2020,Noon,Regular Season,UConn,South Florida,ESPNU,,0.163,
2017,11/11/2020,10:30 PM,Regular Season,Wyoming,Air Force,ESPNU,,0.159,
2017,11/8/2020,8:15 PM,Regular Season,Eastern Michigan,Central Michigan,ESPNU,,0.115,
2017,11/9/2020,7:30 PM,Regular Season,Georgia Southern,Appalachian State,ESPNU,,0.102,
2017,11/7/2020,7:30 PM,Regular Season,Bowling Green,Buffalo,ESPNU,,0.089,MAC
2017,11/4/2020,8:00 PM,Regular Season,LSU,Alabama,CBS,3.9,6.729,SEC
2017,11/4/2020,3:30 PM,Regular Season,Ohio State,Iowa,ESPN,2.3,4.112,Big Ten
2017,11/4/2020,3:30 PM,Regular Season,South Carolina,Georgia,CBS,2.1,3.482,SEC
2017,11/4/2020,Noon,Regular Season,Penn State,Michigan State,FOX,1.9,3.102,Big Ten
2017,11/4/2020,8:00 PM,Regular Season,Virginia Tech,Miami (FL),ABC,1.8,3.011,ACC
2017,11/4/2020,8:30 PM,Regular Season,Minnesota,Michigan,FOX,1.7,2.85,Big Ten
2017,11/4/2020,Noon,Regular Season,Wisconsin,Indiana,ABC,1.8,2.834,Big Ten
2017,11/4/2020,3:30 PM,Regular Season,Clemson,NC State,ABC,1.8,2.831,ACC
2017,11/4/2020,Noon,Regular Season,Auburn,Texas A&M,ESPN,1.6,2.631,SEC
2017,11/4/2020,4:00 PM,Regular Season,Oklahoma,Oklahoma State,FS1,1.4,2.486,Big 12
2017,11/4/2020,3:30 PM**,Regular Season,Stanford,Washington State,FOX,1.3,1.987,Pac-12
2017,11/4/2020,10:45 PM,Regular Season,Arizona,USC,ESPN,1.1,1.939,Pac-12
2017,11/4/2020,3:30 PM,Regular Season,Wake Forest,Notre Dame,NBC,1.2,1.903,ACC
2017,11/4/2020,7:15 PM,Regular Season,Texas,TCU,ESPN,1.1,1.897,Big 12
2017,11/4/2020,10:00 PM,Regular Season,Oregon,Washington,FS1,0.51,0.986,
2017,11/4/2020,3:30 PM,Regular Season,Iowa State,West Virginia,ESPN2,0.5,0.876,
2017,11/4/2020,Noon,Regular Season,Florida,Missouri,ESPN2,0.48,0.793,
2017,11/2/2020,8:00 PM,Regular Season,Navy,Temple,ESPN,0.51,0.758,
2017,11/3/2020,8:00 PM,Regular Season,Memphis,Tulsa,ESPN2,,0.683,
2017,11/3/2020,10:00 PM,Regular Season,UCLA,Utah,FS1,,0.563,
2017,11/4/2020,Noon,Regular Season,Kansas State,Texas Tech,FS1,0.35,0.54,
2017,11/4/2020,7:15 PM,Regular Season,UCF,SMU,ESPN2,0.22,0.369,
2017,11/4/2020,10:45 PM,Regular Season,Brigham Young,Fresno State,ESPN2,0.2,0.324,
2017,10/31/2020,8:00 PM,Regular Season,Miami (OH),Ohio,ESPN2,,0.276,
2017,11/1/2020,8:00 PM,Regular Season,Central Michigan,Western Michigan,ESPN2,,0.216,
2017,11/2/2020,6:00 PM,Regular Season,Northern Illinois,Toledo,ESPNU,,0.156,
2017,11/4/2020,7:00 PM,Regular Season,Nevada,Boise State,ESPNU,,0.143,
2017,11/2/2020,9:30 PM,Regular Season,Idaho,Troy,ESPNU,,0.13,
2017,11/4/2020,10:30 PM,Regular Season,San Diego State,San Jose State,ESPNU,,0.083,MWC
2017,11/4/2020,Noon,Regular Season,Western Kentucky,Vanderbilt,ESPNU,,0.082,C-USA
2017,11/4/2020,3:30 PM,Regular Season,South Florida,UConn,ESPNU,,0.074,American
2017,10/31/2020,8:00 PM,Regular Season,Bowling Green,Kent State,ESPNU,,0.07,MAC
2017,10/28/2020,3:30 PM,Regular Season,Penn State,Ohio State,FOX,5.75,9.868,Big Ten
2017,10/28/2020,8:00 PM,Regular Season,Georgia Tech,Clemson,ABC,2,3.464,ACC
2017,10/28/2020,8:00 PM,Regular Season,Texas Tech,Oklahoma,ABC,2,3.464,ACC
2017,10/28/2020,3:30 PM,Regular Season,Georgia,Florida,CBS,2,3.38,SEC
2017,10/28/2020,Noon,Regular Season,Oklahoma State,West Virginia,ABC,2.2,3.365,Big 12
2017,10/28/2020,3:30 PM,Regular Season,TCU,Iowa State,ABC,1.8,2.85,Big 12
2017,10/28/2020,3:30 PM,Regular Season,UCLA,Washington,ABC,1.8,2.85,Big 12
2017,10/28/2020,3:30 PM,Regular Season,NC State,Notre Dame,NBC,1.6,2.625,ACC
2017,10/28/2020,Noon,Regular Season,Wisconsin,Illinois,ESPN,1.2,1.927,Big Ten
2017,10/28/2020,7:15 PM,Regular Season,Mississippi State,Texas A&M,ESPN,0.9,1.64,SEC
2017,10/28/2020,Noon,Regular Season,Miami (FL),North Carolina,ESPN2,0.9,1.419,ACC
2017,10/27/2020,8:00 PM,Regular Season,Florida State,Boston College,ESPN,0.9,1.397,ACC
2017,10/28/2020,10:45 PM,Regular Season,USC,Arizona State,ESPN,0.8,1.381,Pac-12
2017,10/26/2020,9:00 PM,Regular Season,Stanford,Oregon State,ESPN,,1.162,Pac-12
2017,10/28/2020,3:30 PM,Regular Season,Michigan State,Northwestern,ESPN,0.7,1.117,Big Ten
2017,10/28/2020,6:30 PM,Regular Season,Minnesota,Iowa,FS1,0.42,0.769,
2017,10/28/2020,Noon,Regular Season,Texas,Baylor,ESPNU,,0.601,
2017,10/28/2020,3:00 PM,Regular Season,Kansas State,Kansas,FS1,0.2,0.323,
2017,10/27/2020,9:00 PM,Regular Season,Tulsa,SMU,ESPN2,,0.225,
2017,10/28/2020,3:45 PM,Regular Season,Houston,South Florida,ESPNU,,0.177,
2017,10/26/2020,7:30 PM,Regular Season,South Alabama,Georgia State,ESPNU,,0.13,
2017,10/28/2020,7:30 PM,Regular Season,New Mexico,Wyoming,ESPNU,,0.082,MWC
2017,10/21/2020,7:30 PM,Regular Season,Michigan,Penn State,ABC,3.9,6.954,Big Ten
2017,10/21/2020,3:30 PM,Regular Season,Tennessee,Alabama,CBS,2.8,4.446,SEC
2017,10/21/2020,Noon,Regular Season,Oklahoma State,Texas,ABC,2.5,3.829,Big 12
2017,10/21/2020,3:45 PM,Regular Season,Indiana,Michigan State,ABC,2.2,3.501,Big Ten
2017,10/21/2020,4:30 PM,Regular Season,Oklahoma,Kansas State,FOX,1.9,3,Big 12
2017,10/21/2020,7:30 PM,Regular Season,USC,Notre Dame,NBC,1.8,2.988,Pac-12
2017,10/21/2020,Noon,Regular Season,Louisville,Florida State,ESPN,1.7,2.58,ACC
2017,10/21/2020,3:30 PM,Regular Season,Syracuse,Miami (FL),ESPN,1.3,2.093,ACC
2017,10/21/2020,7:15 PM,Regular Season,LSU,Ole Miss,ESPN,1.1,1.891,SEC
2017,10/21/2020,Noon,Regular Season,Maryland,Wisconsin,FOX,1,1.495,Big Ten
2017,10/21/2020,10:45 PM,Regular Season,Colorado,Washington State,ESPN,0.8,1.392,Pac-12
2017,10/21/2020,8:00 PM,Regular Season,Kansas,TCU,FOX,0.7,1.191,Big 12
2017,10/21/2020,Noon,Regular Season,Iowa,Northwestern,ESPN2,0.5,0.813,
2017,10/19/2020,8:00 PM,Regular Season,Memphis,Houston,ESPN,0.38,0.565,
2017,10/21/2020,3:30 PM,Regular Season,North Carolina,Virginia Tech,ESPN2,0.32,0.546,
2017,10/20/2020,7:00 PM,Regular Season,Marshall,Middle Tennessee,ESPN2,,0.453,
